time_hours,Tf_0*L,Tf_0.25*L,Tf_0.50*L,Tf_0.75*L,Tf_1*L,Ts_0*L,Ts_0.25*L,Ts_0.50*L,Ts_0.75*L,Ts_1*L
0.000000,-3.50,-3.70,-3.70,-3.70,-3.70,-3.70,-3.70,-3.70,-3.70,-3.70
0.010417,-3.50,-3.70,-3.70,-3.70,-3.70,-3.52,-3.70,-3.70,-3.70,-3.70
0.022917,-3.50,-3.70,-3.70,-3.70,-3.70,-3.50,-3.70,-3.70,-3.70,-3.70
0.037917,-3.50,-3.70,-3.70,-3.70,-3.70,-3.50,-3.70,-3.70,-3.70,-3.70
0.055917,-4.15,-3.70,-3.70,-3.70,-3.70,-4.11,-3.70,-3.70,-3.70,-3.70
0.077517,-5.13,-3.70,-3.70,-3.70,-3.70,-5.08,-3.70,-3.70,-3.70,-3.70
0.103437,-6.94,-3.70,-3.70,-3.70,-3.70,-6.86,-3.70,-3.70,-3.70,-3.70
0.134541,-9.13,-3.70,-3.70,-3.70,-3.70,-9.04,-3.70,-3.70,-3.70,-3.70
0.171865,-11.04,-3.70,-3.70,-3.70,-3.70,-10.98,-3.70,-3.70,-3.70,-3.70
0.216655,-12.20,-3.70,-3.70,-3.70,-3.70,-12.17,-3.70,-3.70,-3.70,-3.70
0.270403,-13.39,-3.70,-3.70,-3.70,-3.70,-13.37,-3.70,-3.70,-3.70,-3.70
0.334900,-14.51,-3.70,-3.70,-3.70,-3.70,-14.49,-3.70,-3.70,-3.70,-3.70
0.412297,-14.89,-3.70,-3.70,-3.70,-3.70,-14.88,-3.70,-3.70,-3.70,-3.70
0.504330,-14.96,-3.70,-3.70,-3.70,-3.70,-14.96,-3.70,-3.70,-3.70,-3.70
0.596364,-15.09,-3.70,-3.70,-3.70,-3.70,-15.09,-3.70,-3.70,-3.70,-3.70
0.688398,-16.83,-3.70,-3.70,-3.70,-3.70,-16.81,-3.70,-3.70,-3.70,-3.70
0.780431,-19.46,-3.70,-3.70,-3.70,-3.70,-19.42,-3.70,-3.70,-3.70,-3.70
0.872465,-20.68,-3.70,-3.70,-3.70,-3.70,-20.67,-3.70,-3.70,-3.70,-3.70
0.964498,-21.74,-3.71,-3.70,-3.70,-3.70,-21.73,-3.71,-3.70,-3.70,-3.70
1.056532,-22.71,-3.72,-3.70,-3.70,-3.70,-22.69,-3.72,-3.70,-3.70,-3.70
1.148565,-22.97,-3.76,-3.70,-3.70,-3.70,-22.97,-3.75,-3.70,-3.70,-3.70
1.240599,-23.65,-3.81,-3.70,-3.70,-3.70,-23.65,-3.81,-3.70,-3.70,-3.70
1.332632,-24.29,-3.91,-3.70,-3.70,-3.70,-24.28,-3.91,-3.70,-3.70,-3.70
1.424666,-23.07,-4.08,-3.70,-3.70,-3.70,-23.08,-4.08,-3.70,-3.70,-3.70
1.516699,-21.12,-4.33,-3.70,-3.70,-3.70,-21.14,-4.33,-3.70,-3.70,-3.70
1.608733,-19.50,-4.69,-3.70,-3.70,-3.70,-19.52,-4.68,-3.70,-3.70,-3.70
1.700766,-19.85,-5.17,-3.70,-3.70,-3.70,-19.85,-5.17,-3.70,-3.70,-3.70
1.792800,-20.91,-5.80,-3.70,-3.70,-3.70,-20.90,-5.79,-3.70,-3.70,-3.70
1.884834,-21.87,-6.57,-3.70,-3.70,-3.70,-21.86,-6.56,-3.70,-3.70,-3.70
1.976867,-22.49,-7.49,-3.70,-3.70,-3.70,-22.48,-7.48,-3.70,-3.70,-3.70
2.068901,-22.80,-8.54,-3.70,-3.70,-3.70,-22.80,-8.52,-3.70,-3.70,-3.70
2.160934,-22.39,-9.69,-3.70,-3.70,-3.70,-22.39,-9.67,-3.70,-3.70,-3.70
2.252968,-21.44,-10.92,-3.71,-3.70,-3.70,-21.46,-10.90,-3.71,-3.70,-3.70
2.345001,-19.85,-12.19,-3.71,-3.70,-3.70,-19.87,-12.17,-3.71,-3.70,-3.70
2.437035,-18.31,-13.47,-3.72,-3.70,-3.70,-18.33,-13.45,-3.72,-3.70,-3.70
2.529068,-17.15,-14.72,-3.74,-3.70,-3.70,-17.17,-14.71,-3.74,-3.70,-3.70
2.621102,-16.43,-15.92,-3.76,-3.70,-3.70,-16.44,-15.91,-3.76,-3.70,-3.70
2.713135,-16.46,-17.04,-3.80,-3.70,-3.70,-16.46,-17.03,-3.80,-3.70,-3.70
2.805169,-17.33,-18.05,-3.85,-3.70,-3.70,-17.32,-18.04,-3.85,-3.70,-3.70
2.897202,-16.94,-18.94,-3.93,-3.70,-3.70,-16.95,-18.92,-3.93,-3.70,-3.70
2.989236,-16.63,-19.68,-4.04,-3.70,-3.70,-16.63,-19.68,-4.04,-3.70,-3.70
3.081270,-16.40,-20.29,-4.19,-3.70,-3.70,-16.41,-20.29,-4.18,-3.70,-3.70
3.173303,-16.70,-20.77,-4.38,-3.70,-3.70,-16.70,-20.76,-4.38,-3.70,-3.70
3.265337,-16.74,-21.11,-4.64,-3.70,-3.70,-16.74,-21.11,-4.63,-3.70,-3.70
3.357370,-16.45,-21.34,-4.96,-3.70,-3.70,-16.46,-21.34,-4.96,-3.70,-3.70
3.449404,-14.71,-21.47,-5.36,-3.70,-3.70,-14.74,-21.47,-5.35,-3.70,-3.70
3.541437,-12.70,-21.52,-5.83,-3.70,-3.70,-12.73,-21.52,-5.83,-3.70,-3.70
3.633471,-12.50,-21.49,-6.39,-3.70,-3.70,-12.50,-21.49,-6.39,-3.70,-3.70
3.725504,-12.88,-21.41,-7.04,-3.71,-3.70,-12.88,-21.41,-7.03,-3.71,-3.70
3.817538,-13.39,-21.26,-7.77,-3.71,-3.70,-13.38,-21.26,-7.76,-3.71,-3.70
3.909571,-13.90,-21.06,-8.58,-3.72,-3.70,-13.89,-21.06,-8.57,-3.72,-3.70
4.001605,-12.90,-20.81,-9.46,-3.73,-3.70,-12.91,-20.81,-9.44,-3.73,-3.70
4.093638,-12.60,-20.51,-10.39,-3.74,-3.70,-12.60,-20.51,-10.37,-3.74,-3.70
4.185672,-12.60,-20.16,-11.36,-3.76,-3.70,-12.60,-20.16,-11.35,-3.76,-3.70
4.277706,-12.60,-19.77,-12.35,-3.79,-3.70,-12.60,-19.78,-12.34,-3.79,-3.70
4.369739,-12.51,-19.36,-13.35,-3.82,-3.70,-12.51,-19.37,-13.34,-3.82,-3.70
4.461773,-11.56,-18.94,-14.34,-3.88,-3.70,-11.57,-18.94,-14.32,-3.87,-3.70
4.553806,-10.30,-18.51,-15.29,-3.94,-3.70,-10.31,-18.52,-15.28,-3.94,-3.70
4.645840,-9.55,-18.09,-16.19,-4.03,-3.70,-9.56,-18.10,-16.18,-4.03,-3.70
4.737874,-10.35,-17.68,-17.04,-4.15,-3.70,-10.34,-17.69,-17.03,-4.15,-3.70
4.829907,-11.77,-17.29,-17.80,-4.30,-3.70,-11.75,-17.29,-17.79,-4.30,-3.70
4.921941,-12.64,-16.91,-18.49,-4.48,-3.70,-12.63,-16.91,-18.48,-4.48,-3.70
5.013975,-13.27,-16.53,-19.08,-4.71,-3.70,-13.26,-16.54,-19.07,-4.71,-3.70
5.106010,-13.82,-16.17,-19.58,-4.99,-3.70,-13.81,-16.17,-19.57,-4.98,-3.70
5.198045,-13.35,-15.80,-19.99,-5.31,-3.71,-13.36,-15.80,-19.98,-5.31,-3.71
5.290080,-14.30,-15.44,-20.30,-5.69,-3.71,-14.29,-15.44,-20.29,-5.69,-3.71
5.382117,-14.76,-15.07,-20.52,-6.14,-3.71,-14.75,-15.08,-20.52,-6.13,-3.71
5.474155,-11.37,-14.72,-20.66,-6.64,-3.72,-11.41,-14.73,-20.66,-6.63,-3.72
5.566196,-8.95,-14.38,-20.72,-7.20,-3.73,-8.98,-14.38,-20.72,-7.19,-3.73
5.658240,-8.60,-14.05,-20.71,-7.82,-3.74,-8.60,-14.05,-20.71,-7.81,-3.74
5.750288,-9.10,-13.73,-20.63,-8.49,-3.76,-9.09,-13.74,-20.63,-8.48,-3.76
5.842342,-9.43,-13.43,-20.49,-9.22,-3.78,-9.43,-13.44,-20.50,-9.21,-3.78
5.934404,-10.84,-13.16,-20.31,-9.98,-3.82,-10.82,-13.16,-20.31,-9.97,-3.82
6.026477,-11.98,-12.90,-20.07,-10.78,-3.86,-11.97,-12.90,-20.08,-10.77,-3.86
6.118564,-13.04,-12.67,-19.80,-11.61,-3.91,-13.02,-12.67,-19.80,-11.59,-3.91
6.210669,-13.53,-12.47,-19.50,-12.44,-3.98,-13.52,-12.47,-19.50,-12.43,-3.98
6.302798,-13.62,-12.30,-19.17,-13.28,-4.07,-13.62,-12.30,-19.17,-13.27,-4.06
6.394956,-12.96,-12.18,-18.82,-14.10,-4.17,-12.97,-12.18,-18.83,-14.09,-4.17
6.487150,-11.25,-12.09,-18.46,-14.90,-4.30,-11.27,-12.09,-18.46,-14.89,-4.30
6.579390,-9.66,-12.05,-18.09,-15.67,-4.46,-9.68,-12.05,-18.09,-15.66,-4.46
6.671685,-10.08,-12.04,-17.71,-16.40,-4.66,-10.08,-12.04,-17.72,-16.39,-4.65
6.764046,-11.53,-12.05,-17.33,-17.07,-4.89,-11.52,-12.05,-17.34,-17.06,-4.88
6.856485,-12.72,-12.07,-16.96,-17.68,-5.15,-12.71,-12.07,-16.96,-17.68,-5.15
6.949016,-13.16,-12.08,-16.58,-18.23,-5.46,-13.15,-12.08,-16.58,-18.22,-5.46
7.041655,-13.90,-12.07,-16.21,-18.70,-5.82,-13.89,-12.07,-16.21,-18.70,-5.81
7.134416,-15.11,-12.04,-15.85,-19.11,-6.22,-15.10,-12.04,-15.85,-19.10,-6.21
7.227316,-16.20,-11.96,-15.49,-19.43,-6.67,-16.19,-11.96,-15.49,-19.43,-6.66
7.320373,-16.64,-11.87,-15.14,-19.68,-7.17,-16.63,-11.87,-15.15,-19.68,-7.16
7.413604,-16.24,-11.76,-14.80,-19.86,-7.71,-16.24,-11.76,-14.81,-19.86,-7.71
7.507027,-15.65,-11.65,-14.48,-19.97,-8.30,-15.66,-11.65,-14.49,-19.97,-8.30
7.600658,-14.23,-11.55,-14.17,-20.01,-8.94,-14.25,-11.56,-14.18,-20.01,-8.93
7.694512,-14.77,-11.49,-13.88,-19.99,-9.61,-14.76,-11.49,-13.88,-19.99,-9.60
7.788606,-15.88,-11.46,-13.61,-19.91,-10.31,-15.86,-11.46,-13.61,-19.91,-10.30
7.882950,-16.63,-11.47,-13.36,-19.78,-11.03,-16.62,-11.47,-13.36,-19.78,-11.02
7.977555,-18.87,-11.52,-13.13,-19.60,-11.78,-18.84,-11.52,-13.13,-19.60,-11.77
8.072329,-20.64,-11.59,-12.92,-19.38,-12.53,-20.62,-11.59,-12.92,-19.38,-12.52
8.167110,-21.70,-11.68,-12.74,-19.13,-13.27,-21.69,-11.68,-12.74,-19.13,-13.27
8.261896,-22.00,-11.79,-12.59,-18.84,-14.01,-22.00,-11.79,-12.59,-18.85,-14.00
8.356687,-22.63,-11.93,-12.46,-18.54,-14.72,-22.62,-11.93,-12.46,-18.54,-14.71
8.451484,-18.88,-12.09,-12.34,-18.21,-15.41,-18.92,-12.09,-12.35,-18.21,-15.40
8.546287,-14.74,-12.29,-12.25,-17.87,-16.05,-14.80,-12.29,-12.25,-17.87,-16.05
8.641094,-12.49,-12.52,-12.18,-17.52,-16.66,-12.52,-12.52,-12.18,-17.53,-16.65
8.735907,-14.40,-12.79,-12.11,-17.17,-17.21,-14.38,-12.79,-12.11,-17.17,-17.20
8.830724,-14.49,-13.10,-12.05,-16.81,-17.70,-14.49,-13.10,-12.05,-16.81,-17.69
8.925546,-15.13,-13.44,-11.99,-16.45,-18.13,-15.12,-13.44,-12.00,-16.46,-18.13
9.020372,-12.86,-13.81,-11.94,-16.10,-18.50,-12.89,-13.80,-11.94,-16.10,-18.50
9.115203,-10.44,-14.19,-11.89,-15.75,-18.81,-10.47,-14.18,-11.89,-15.75,-18.81
9.209598,-10.29,-14.58,-11.85,-15.41,-19.05,-10.30,-14.58,-11.85,-15.42,-19.05
9.303940,-10.67,-14.99,-11.80,-15.09,-19.23,-10.67,-14.98,-11.80,-15.09,-19.22
9.398416,-9.23,-15.40,-11.77,-14.77,-19.34,-9.25,-15.39,-11.77,-14.78,-19.34
9.492379,-5.63,-15.81,-11.74,-14.47,-19.40,-5.67,-15.81,-11.74,-14.48,-19.40
9.585076,-2.90,-16.22,-11.72,-14.19,-19.40,-2.93,-16.22,-11.72,-14.20,-19.40
9.676836,-3.00,-16.61,-11.72,-13.93,-19.36,-2.99,-16.61,-11.72,-13.94,-19.36
9.768629,-4.31,-16.98,-11.73,-13.69,-19.26,-4.30,-16.97,-11.73,-13.69,-19.26
