t [hr],T [C]
0,-3.5
1,-3.5
2,-5.4
3,-8.6
4,-10.9
5,-12
6,-13
7,-13.8
8,-14.5
9,-14.8
10,-14.9
11,-15
12,-15
13,-14.6
14,-15
15,-15.3
16,-16
17,-17.6
18,-18.8
19,-19.7
20,-20.4
21,-20.7
22,-21.5
23,-21.7
24,-22
25,-22.6
26,-22.9
27,-22.8
28,-23.1
29,-23.5
30,-23.7
31,-23.9
32,-24.3
33,-23.9
34,-23.2
35,-22.5
36,-21.4
37,-20.7
38,-19.8
39,-19.3
40,-19.2
41,-20
42,-20.5
43,-20.9
44,-21.3
45,-21.8
46,-22.1
47,-22.4
48,-22.6
49,-23
50,-22.7
51,-22.3
52,-22.4
53,-22.1
54,-21.5
55,-20.7
56,-20.1
57,-19.2
58,-18.6
59,-18
60,-17.5
61,-17
62,-16.7
63,-16.4
64,-16.5
65,-16.4
66,-16.9
67,-17.3
68,-17.4
69,-17.1
70,-16.8
71,-16.7
72,-16.6
73,-16.5
74,-16.4
75,-16.6
76,-16.7
77,-16.7
78,-16.7
79,-16.8
80,-16.8
81,-16.2
82,-15.5
83,-14.5
84,-13.5
85,-12.7
86,-12.5
87,-12.5
88,-12.5
89,-12.8
90,-13
91,-13.2
92,-13.5
93,-13.9
94,-13.9
95,-13.4
96,-12.9
97,-12.8
98,-12.6
99,-12.6
100,-12.6
101,-12.6
102,-12.6
103,-12.6
104,-12.6
105,-12.5
106,-12.2
107,-11.6
108,-11.1
109,-10.5
110,-9.8
111,-9.7
112,-9.4
113,-10
114,-10.5
115,-11.4
116,-11.8
117,-12.4
118,-12.6
119,-12.9
120,-13.3
121,-13.2
122,-13.6
123,-14
124,-13.5
125,-13.3
126,-14.3
127,-14.3
128,-15
129,-15
130,-13.6
131,-11.9
132,-10.5
133,-9.3
134,-8.7
135,-8.6
136,-8.6
137,-8.7
138,-9.1
139,-9.1
140,-9.3
141,-9.9
142,-10.5
143,-11.3
144,-11.6
145,-12.2
146,-12.7
147,-13.1
148,-13.5
149,-13.5
150,-14
151,-13.7
152,-13.4
153,-13.2
154,-12.7
155,-11.8
156,-11
157,-10.2
158,-9.6
159,-9.7
160,-10
161,-10.7
162,-11.4
163,-11.8
164,-12.5
165,-12.9
166,-13
167,-13.2
168,-13.5
169,-13.9
170,-14.5
171,-15
172,-15.5
173,-16.2
174,-16.2
175,-16.5
176,-16.7
177,-16.7
178,-16.2
179,-16.3
180,-15.8
181,-14.9
182,-14.4
183,-14
184,-14.3
185,-15
186,-15.6
187,-15.9
188,-16
189,-16.4
190,-17.6
191,-18.5
192,-19.3
193,-20.2
194,-20.8
195,-21.1
196,-21.7
197,-21.7
198,-21.8
199,-22.5
200,-22.8
201,-22.5
202,-20.8
203,-18.5
204,-16.2
205,-14.9
206,-13.5
207,-12.3
208,-12.8
209,-14.2
210,-14.5
211,-14.4
212,-14.5
213,-14.5
214,-15.3
215,-14.5
