time_hours,Tf_0*L,Tf_0.25*L,Tf_0.50*L,Tf_0.75*L,Tf_1*L,Ts_0*L,Ts_0.25*L,Ts_0.50*L,Ts_0.75*L,Ts_1*L
0.000000,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
0.000278,10.21,10.09,10.04,10.02,10.01,10.00,10.00,10.00,10.00,10.00
0.000611,10.46,10.23,10.11,10.06,10.03,10.00,10.00,10.00,10.00,10.00
0.001011,10.76,10.37,10.18,10.09,10.05,10.01,10.00,10.00,10.00,10.00
0.001491,11.12,10.56,10.28,10.14,10.07,10.02,10.01,10.00,10.00,10.00
0.002067,11.56,10.77,10.39,10.20,10.10,10.04,10.02,10.01,10.00,10.00
0.002758,12.08,11.05,10.53,10.27,10.14,10.06,10.03,10.02,10.01,10.00
0.003588,12.70,11.36,10.70,10.36,10.19,10.10,10.05,10.03,10.01,10.01
0.004583,13.45,11.76,10.91,10.47,10.24,10.17,10.08,10.04,10.02,10.01
0.005777,14.34,12.23,11.16,10.60,10.32,10.27,10.13,10.07,10.04,10.02
0.007211,15.41,12.80,11.47,10.77,10.41,10.41,10.21,10.11,10.06,10.03
0.008931,16.68,13.49,11.85,10.98,10.53,10.62,10.32,10.16,10.09,10.05
0.010995,18.18,14.34,12.33,11.25,10.68,10.92,10.48,10.25,10.13,10.07
0.013471,19.96,15.36,12.92,11.59,10.87,11.35,10.71,10.37,10.20,10.11
0.016443,22.05,16.60,13.65,12.01,11.12,11.96,11.04,10.56,10.30,10.16
0.020010,24.46,18.07,14.54,12.55,11.44,12.80,11.50,10.82,10.45,10.25
0.024289,27.20,19.82,15.65,13.23,11.86,13.96,12.16,11.19,10.66,10.37
0.029425,30.22,21.85,16.98,14.09,12.41,15.51,13.07,11.73,10.97,10.55
0.035588,33.40,24.16,18.57,15.15,13.10,17.54,14.30,12.47,11.42,10.82
0.042983,36.46,26.63,20.41,16.44,13.99,20.10,15.92,13.49,12.05,11.21
0.051858,38.93,29.07,22.41,17.95,15.08,23.15,17.97,14.85,12.93,11.78
0.061752,39.99,30.92,24.26,19.51,16.29,26.27,20.24,16.44,14.02,12.51
0.071691,39.20,31.76,25.60,20.85,17.43,28.82,22.35,18.05,15.18,13.32
0.081689,36.58,31.46,26.31,21.87,18.45,30.57,24.12,19.55,16.35,14.20
0.091747,32.25,29.99,26.28,22.49,19.26,31.31,25.40,20.85,17.47,15.09
0.101861,26.48,27.36,25.46,22.61,19.79,30.93,26.04,21.83,18.46,15.95
0.111878,19.72,23.75,23.85,22.19,19.99,29.40,25.95,22.38,19.23,16.71
0.121754,12.44,19.36,21.52,21.22,19.80,26.80,25.09,22.44,19.71,17.33
0.131492,5.13,14.49,18.62,19.72,19.21,23.31,23.49,21.98,19.86,17.76
0.141086,-1.80,9.40,15.28,17.78,18.24,19.12,21.24,20.99,19.64,17.95
0.150510,-7.94,4.45,11.73,15.50,16.93,14.52,18.47,19.53,19.05,17.88
0.159756,-13.00,-0.11,8.17,13.02,15.36,9.77,15.33,17.68,18.12,17.54
0.168836,-16.76,-4.03,4.82,10.48,13.62,5.12,12.01,15.53,16.89,16.95
0.177777,-19.11,-7.14,1.83,8.03,11.81,0.82,8.69,13.20,15.43,16.14
0.186616,-19.99,-9.31,-0.65,5.78,10.03,-2.96,5.51,10.82,13.81,15.14
0.195404,-19.41,-10.48,-2.52,3.85,8.35,-6.05,2.64,8.48,12.10,14.01
0.204196,-17.40,-10.61,-3.70,2.31,6.87,-8.33,0.18,6.31,10.40,12.80
0.213046,-14.03,-9.71,-4.16,1.22,5.63,-9.70,-1.75,4.39,8.77,11.55
0.222004,-9.41,-7.79,-3.88,0.63,4.69,-10.07,-3.06,2.80,7.29,10.34
0.231120,-3.71,-4.96,-2.87,0.56,4.09,-9.41,-3.68,1.64,6.02,9.21
0.240436,2.86,-1.29,-1.18,1.00,3.84,-7.70,-3.58,0.94,5.02,8.20
0.249987,9.99,3.03,1.12,1.94,3.95,-4.97,-2.72,0.75,4.33,7.37
0.259709,17.25,7.77,3.90,3.30,4.41,-1.36,-1.15,1.09,4.00,6.75
0.269432,24.08,12.55,6.94,4.99,5.16,2.88,1.01,1.92,4.03,6.38
0.279176,30.08,17.16,10.09,6.90,6.16,7.52,3.63,3.16,4.39,6.24
0.288952,34.90,21.30,13.18,8.93,7.33,12.28,6.57,4.75,5.05,6.34
0.298769,38.23,24.79,16.06,10.98,8.62,16.90,9.67,6.59,5.96,6.64
0.308635,39.86,27.40,18.56,12.95,9.97,21.12,12.77,8.60,7.08,7.13
0.318556,39.65,28.99,20.57,14.75,11.32,24.68,15.68,10.65,8.34,7.79
0.328536,37.60,29.41,21.95,16.25,12.58,27.36,18.26,12.66,9.69,8.57
0.338575,33.79,28.64,22.60,17.39,13.69,28.98,20.33,14.50,11.05,9.43
0.348672,28.43,26.65,22.44,18.05,14.57,29.39,21.75,16.05,12.33,10.33
0.358790,21.89,23.56,21.45,18.18,15.15,28.56,22.41,17.21,13.46,11.22
0.368758,14.69,19.57,19.67,17.73,15.36,26.55,22.25,17.86,14.34,12.00
0.378576,7.31,14.99,17.23,16.73,15.17,23.51,21.27,17.98,14.90,12.64
