time_hours,Tf_0*L,Tf_0.25*L,Tf_0.50*L,Tf_0.75*L,Tf_1*L,Ts_0*L,Ts_0.25*L,Ts_0.50*L,Ts_0.75*L,Ts_1*L
0.000000,-3.50,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
0.000278,-3.50,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
0.000611,-3.50,10.00,10.00,10.00,10.00,9.99,10.00,10.00,10.00,10.00
0.001011,-3.50,10.00,10.00,10.00,10.00,9.99,10.00,10.00,10.00,10.00
0.001491,-3.50,10.00,10.00,10.00,10.00,9.98,10.00,10.00,10.00,10.00
0.002067,-3.50,10.00,10.00,10.00,10.00,9.98,10.00,10.00,10.00,10.00
0.002758,-3.50,10.00,10.00,10.00,10.00,9.97,10.00,10.00,10.00,10.00
0.003588,-3.50,10.00,10.00,10.00,10.00,9.96,10.00,10.00,10.00,10.00
0.004583,-3.50,10.00,10.00,10.00,10.00,9.95,10.00,10.00,10.00,10.00
0.005777,-3.50,10.00,10.00,10.00,10.00,9.93,10.00,10.00,10.00,10.00
0.007211,-3.50,10.00,10.00,10.00,10.00,9.92,10.00,10.00,10.00,10.00
0.008931,-3.50,10.00,10.00,10.00,10.00,9.90,10.00,10.00,10.00,10.00
0.010995,-3.50,10.00,10.00,10.00,10.00,9.87,10.00,10.00,10.00,10.00
0.013471,-3.50,10.00,10.00,10.00,10.00,9.85,10.00,10.00,10.00,10.00
0.016443,-3.50,10.00,10.00,10.00,10.00,9.81,10.00,10.00,10.00,10.00
0.020010,-3.50,10.00,10.00,10.00,10.00,9.77,10.00,10.00,10.00,10.00
0.024289,-3.50,10.00,10.00,10.00,10.00,9.72,10.00,10.00,10.00,10.00
0.029425,-3.50,10.00,10.00,10.00,10.00,9.66,10.00,10.00,10.00,10.00
0.035588,-3.50,10.00,10.00,10.00,10.00,9.59,10.00,10.00,10.00,10.00
0.042983,-3.50,10.00,10.00,10.00,10.00,9.51,10.00,10.00,10.00,10.00
0.051858,-3.50,10.00,10.00,10.00,10.00,9.41,10.00,10.00,10.00,10.00
0.062507,-3.50,10.00,10.00,10.00,10.00,9.30,10.00,10.00,10.00,10.00
0.075286,-3.50,10.00,10.00,10.00,10.00,9.16,10.00,10.00,10.00,10.00
0.090621,-3.50,10.00,10.00,10.00,10.00,8.99,10.00,10.00,10.00,10.00
0.109023,-3.50,10.00,10.00,10.00,10.00,8.80,10.00,10.00,10.00,10.00
0.131106,-3.50,10.00,10.00,10.00,10.00,8.57,10.00,10.00,10.00,10.00
0.157605,-3.50,10.00,10.00,10.00,10.00,8.30,10.00,10.00,10.00,10.00
0.189404,-3.50,10.00,10.00,10.00,10.00,7.99,10.00,10.00,10.00,10.00
0.227562,-3.50,10.00,10.00,10.00,10.00,7.63,10.00,10.00,10.00,10.00
0.273352,-3.50,10.00,10.00,10.00,10.00,7.21,10.00,10.00,10.00,10.00
0.328300,-3.50,10.00,10.00,10.00,10.00,6.72,10.00,10.00,10.00,10.00
0.394238,-3.50,10.00,10.00,10.00,10.00,6.18,10.00,10.00,10.00,10.00
0.473364,-3.50,10.00,10.00,10.00,10.00,5.56,10.00,10.00,10.00,10.00
0.568314,-3.50,10.00,10.00,10.00,10.00,4.88,10.00,10.00,10.00,10.00
0.682255,-3.50,10.00,10.00,10.00,10.00,4.13,10.00,10.00,10.00,10.00
0.818984,-3.50,10.00,10.00,10.00,10.00,3.33,10.00,10.00,10.00,10.00
0.983058,-3.50,10.00,10.00,10.00,10.00,2.49,10.00,10.00,10.00,10.00
1.179948,-3.84,10.00,10.00,10.00,10.00,1.57,10.00,10.00,10.00,10.00
1.416215,-4.29,10.00,10.00,10.00,10.00,0.59,10.00,10.00,10.00,10.00
1.699736,-4.83,10.00,10.00,10.00,10.00,-0.47,10.00,10.00,10.00,10.00
2.039961,-5.53,10.00,10.00,10.00,10.00,-1.62,10.00,10.00,10.00,10.00
2.448230,-6.83,10.00,10.00,10.00,10.00,-2.97,10.00,10.00,10.00,10.00
2.938154,-8.40,10.00,10.00,10.00,10.00,-4.58,10.00,10.00,10.00,10.00
3.526063,-9.81,10.00,10.00,10.00,10.00,-6.34,10.00,10.00,10.00,10.00
4.231553,-11.15,10.00,10.00,10.00,10.00,-8.16,10.00,10.00,10.00,10.00
5.078142,-12.08,10.00,10.00,10.00,10.00,-9.81,10.00,10.00,10.00,10.00
6.094048,-13.08,10.00,10.00,10.00,10.00,-11.34,10.00,10.00,10.00,10.00
7.313135,-14.02,10.00,10.00,10.00,10.00,-12.71,10.00,10.00,10.00,10.00
8.776040,-14.73,10.00,10.00,10.00,10.00,-13.84,10.00,10.00,10.00,10.00
10.531526,-14.95,10.00,10.00,10.00,10.00,-14.51,10.00,10.00,10.00,10.00
12.638109,-14.74,10.00,10.00,10.00,10.00,-14.66,10.00,10.00,10.00,10.00
15.166008,-15.42,10.00,10.00,10.00,10.00,-15.18,10.00,10.00,10.00,10.00
18.199487,-18.98,10.00,10.00,10.00,10.00,-17.93,10.00,10.00,10.00,10.00
21.839663,-21.37,10.00,10.00,10.00,10.00,-20.55,10.00,10.00,10.00,10.00
26.207873,-22.88,10.00,10.00,10.00,10.00,-22.39,10.00,10.00,10.00,10.00
31.449725,-24.08,10.00,10.00,10.00,10.00,-23.78,10.00,10.00,10.00,10.00
37.739948,-20.03,10.00,10.00,10.00,10.00,-20.61,10.00,10.00,10.00,10.00
45.288216,-21.89,10.00,10.00,10.00,10.00,-21.72,10.00,10.00,10.00,10.00
54.346137,-21.22,10.00,10.00,10.00,10.00,-21.28,10.00,10.00,10.00,10.00
65.215642,-16.51,10.00,10.00,10.00,10.00,-16.96,10.00,10.00,10.00,10.00
78.259048,-16.73,10.00,10.00,10.00,10.00,-16.75,10.00,10.00,10.00,10.00
93.911135,-13.90,10.00,10.00,10.00,10.00,-14.10,10.00,10.00,10.00,10.00
112.693640,-9.82,10.00,10.00,10.00,10.00,-10.06,10.00,10.00,10.00,10.00
135.232646,-8.60,10.00,10.00,10.00,10.00,-8.67,10.00,10.00,10.00,10.00
162.279452,-11.51,10.00,10.00,10.00,10.00,-11.39,10.00,10.00,10.00,10.00
194.735621,-21.02,10.00,10.00,10.00,10.00,-20.69,10.00,10.00,10.00,10.00
233.683023,-3.87,10.00,10.00,10.00,10.00,-4.36,10.00,10.00,10.00,10.00
280.419905,-13.94,10.00,10.00,10.00,10.00,-13.71,10.00,10.00,10.00,10.00
336.504164,-0.90,10.00,10.00,10.00,10.00,-1.16,10.00,10.00,10.00,10.00
403.805274,-3.40,10.00,10.00,10.00,10.00,-3.36,10.00,10.00,10.00,10.00
484.566607,-15.30,10.00,10.00,10.00,10.00,-15.13,10.00,10.00,10.00,10.00
581.480206,1.70,10.00,10.00,10.00,10.00,1.50,10.00,10.00,10.00,10.00
697.776525,-22.92,10.00,10.00,10.00,10.00,-22.68,10.00,10.00,10.00,10.00
837.332108,-4.17,10.00,10.00,10.00,10.00,-4.32,10.00,10.00,10.00,10.00
1004.798807,-10.46,10.00,10.00,10.00,10.00,-10.42,10.00,10.00,10.00,10.00
1205.758846,-6.65,10.00,10.00,10.00,10.00,-6.67,10.00,10.00,10.00,10.00
1446.910893,-12.03,10.00,10.00,10.00,10.00,-12.00,10.00,10.00,10.00,10.00
1723.896624,8.89,10.00,10.00,10.00,10.00,8.81,10.00,10.00,10.00,10.00
1995.290206,0.11,10.00,10.00,10.00,10.00,0.15,10.00,10.00,10.00,10.00
2288.428587,7.29,10.00,10.00,10.00,10.00,7.26,10.00,10.00,10.00,10.00
2572.438197,2.01,10.00,10.00,10.00,10.00,2.03,10.00,10.00,10.00,10.00
2863.906048,8.24,10.00,10.00,10.00,10.00,8.22,10.00,10.00,10.00,10.00
3149.886068,6.17,10.00,10.00,10.00,10.00,6.17,10.00,10.00,10.00,10.00
3442.349491,25.56,10.00,10.00,10.00,10.00,25.49,10.00,10.00,10.00,10.00
3717.527532,12.80,10.00,10.00,10.00,10.00,12.85,10.00,10.00,10.00,10.00
4023.694058,25.61,10.00,10.00,10.00,10.00,25.56,10.00,10.00,10.00,10.00
4305.368482,11.47,10.00,10.00,10.00,10.00,11.53,10.00,10.00,10.00,10.00
4608.201042,18.62,10.00,10.00,10.00,10.00,18.59,10.00,10.00,10.00,10.00
4895.281830,19.06,10.00,10.00,10.00,10.00,19.06,10.00,10.00,10.00,10.00
5189.128614,17.71,10.00,10.00,10.00,10.00,17.72,10.00,10.00,10.00,10.00
5484.329483,18.30,10.00,10.00,10.00,10.00,18.30,10.00,10.00,10.00,10.00
5778.024350,26.05,10.00,10.00,10.00,10.00,26.02,10.00,10.00,10.00,10.00
6064.692672,17.59,10.00,10.00,10.00,10.00,17.63,10.00,10.00,10.00,10.00
6364.938083,7.78,10.00,10.00,10.00,10.00,7.82,10.00,10.00,10.00,10.00
6657.945308,10.87,10.00,10.00,10.00,10.00,10.86,10.00,10.00,10.00,10.00
6941.384119,4.02,10.00,10.00,10.00,10.00,4.04,10.00,10.00,10.00,10.00
7228.191069,1.10,10.00,10.00,10.00,10.00,1.12,10.00,10.00,10.00,10.00
7508.327755,1.27,10.00,10.00,10.00,10.00,1.27,10.00,10.00,10.00,10.00
7785.773480,-6.39,10.00,10.00,10.00,10.00,-6.36,10.00,10.00,10.00,10.00
8063.655086,-6.32,10.00,10.00,10.00,10.00,-6.32,10.00,10.00,10.00,10.00
8334.047544,-16.07,10.00,10.00,10.00,10.00,-16.03,10.00,10.00,10.00,10.00
8604.691107,-7.10,10.00,10.00,10.00,10.00,-7.14,10.00,10.00,10.00,10.00
8865.649417,-12.26,10.00,10.00,10.00,10.00,-12.24,10.00,10.00,10.00,10.00
9135.920149,-18.23,10.00,10.00,10.00,10.00,-18.21,10.00,10.00,10.00,10.00
9401.196394,-9.40,10.00,10.00,10.00,10.00,-9.44,10.00,10.00,10.00,10.00
9660.664957,-15.13,10.00,10.00,10.00,10.00,-15.11,10.00,10.00,10.00,10.00
9929.268122,-2.64,10.00,10.00,10.00,10.00,-2.69,10.00,10.00,10.00,10.00
10192.223044,-2.06,10.00,10.00,10.00,10.00,-2.06,10.00,10.00,10.00,10.00
10468.114306,-5.29,10.00,10.00,10.00,10.00,-5.28,10.00,10.00,10.00,10.00
10744.842112,-5.08,9.99,10.00,10.00,10.00,-5.08,9.99,10.00,10.00,10.00
11018.492219,0.35,9.99,10.00,10.00,10.00,0.33,9.99,10.00,10.00,10.00
11292.517703,0.36,9.99,10.00,10.00,10.00,0.36,9.99,10.00,10.00,10.00
11572.275928,3.05,9.98,10.00,10.00,10.00,3.04,9.98,10.00,10.00,10.00
11852.254567,13.47,9.97,10.00,10.00,10.00,13.43,9.97,10.00,10.00,10.00
12135.218653,24.84,9.95,10.00,10.00,10.00,24.80,9.95,10.00,10.00,10.00
12418.276095,12.29,9.93,10.00,10.00,10.00,12.34,9.93,10.00,10.00,10.00
12723.837836,12.18,9.90,10.00,10.00,10.00,12.18,9.90,10.00,10.00,10.00
13016.314988,20.26,9.86,10.00,10.00,10.00,20.23,9.86,10.00,10.00,10.00
13302.496610,14.49,9.80,10.00,10.00,10.00,14.52,9.80,10.00,10.00,10.00
13600.915506,31.70,9.73,10.00,10.00,10.00,31.63,9.73,10.00,10.00,10.00
13878.592494,16.48,9.65,10.00,10.00,10.00,16.55,9.65,10.00,10.00,10.00
14183.873600,15.04,9.53,10.00,10.00,10.00,15.04,9.53,10.00,10.00,10.00
14475.129794,15.55,9.39,10.00,10.00,10.00,15.55,9.39,10.00,10.00,10.00
14765.440136,9.58,9.22,10.00,10.00,10.00,9.60,9.22,10.00,10.00,10.00
15056.698073,11.97,9.01,10.00,10.00,10.00,11.96,9.01,10.00,10.00,10.00
15342.282063,1.90,8.77,10.00,10.00,10.00,1.94,8.78,10.00,10.00,10.00
15630.686721,13.65,8.49,10.00,10.00,10.00,13.60,8.49,10.00,10.00,10.00
15909.315667,3.19,8.20,10.00,10.00,10.00,3.24,8.20,10.00,10.00,10.00
16200.094491,10.63,7.85,10.00,10.00,10.00,10.60,7.85,10.00,10.00,10.00
16480.530721,-0.79,7.50,10.00,10.00,10.00,-0.75,7.51,10.00,10.00,10.00
16768.790308,-0.89,7.11,10.00,10.00,10.00,-0.89,7.11,10.00,10.00,10.00
17045.769452,0.06,6.73,10.00,10.00,10.00,0.06,6.73,10.00,10.00,10.00
17322.849611,-16.14,6.35,10.00,10.00,10.00,-16.07,6.36,10.00,10.00,10.00
17601.086618,-10.20,5.98,10.00,10.00,10.00,-10.23,5.98,10.00,10.00,10.00
17863.064066,-20.08,5.66,10.00,10.00,10.00,-20.04,5.66,10.00,10.00,10.00
18131.340343,-5.46,5.38,10.00,10.00,10.00,-5.52,5.38,10.00,10.00,10.00
18389.734994,-3.55,5.17,10.00,10.00,10.00,-3.56,5.18,10.00,10.00,10.00
18663.193988,-1.50,5.04,10.00,10.00,10.00,-1.51,5.04,10.00,10.00,10.00
18938.809638,-5.40,4.98,10.00,10.00,10.00,-5.38,4.98,10.00,10.00,10.00
19216.751266,6.90,5.02,10.00,10.00,10.00,6.85,5.02,10.00,10.00,10.00
19490.896086,3.62,5.14,10.00,10.00,10.00,3.63,5.14,10.00,10.00,10.00
19777.768573,-2.58,5.37,10.00,10.00,10.00,-2.56,5.37,10.00,10.00,10.00
20061.477579,7.24,5.69,10.00,10.00,10.00,7.20,5.69,10.00,10.00,10.00
20339.043011,1.78,6.06,10.00,10.00,10.00,1.80,6.05,10.00,10.00,10.00
20626.890092,10.47,6.51,10.00,10.00,10.00,10.43,6.50,10.00,10.00,10.00
20909.274667,7.33,6.97,10.00,10.00,10.00,7.34,6.97,10.00,10.00,10.00
21200.738401,10.65,7.46,10.00,10.00,10.00,10.63,7.46,10.00,10.00,10.00
21489.174138,17.16,7.93,10.00,10.00,10.00,17.13,7.93,10.00,10.00,10.00
21776.860255,16.40,8.35,10.00,10.00,10.00,16.40,8.35,10.00,10.00,10.00
22071.919738,23.65,8.72,10.00,10.00,10.00,23.62,8.71,10.00,10.00,10.00
22359.021750,24.81,8.98,10.00,10.00,10.00,24.81,8.98,10.00,10.00,10.00
22652.160110,17.41,9.15,10.00,10.00,10.00,17.44,9.15,10.00,10.00,10.00
22950.844135,15.74,9.20,10.00,10.00,10.00,15.75,9.20,10.00,10.00,10.00
23243.283624,23.46,9.11,10.00,10.00,10.00,23.42,9.11,10.00,10.00,10.00
23529.919004,10.62,8.89,10.00,10.00,10.00,10.68,8.89,10.00,10.00,10.00
23828.492910,10.96,8.51,10.00,10.00,10.00,10.96,8.51,10.00,10.00,10.00
24114.563174,14.06,8.00,10.00,10.00,10.00,14.04,8.00,10.00,10.00,10.00
24401.289361,5.74,7.38,10.00,10.00,10.00,5.78,7.39,10.00,10.00,10.00
24691.545888,5.06,6.63,10.00,10.00,10.00,5.07,6.64,10.00,10.00,10.00
24973.851481,1.91,5.82,10.00,10.00,10.00,1.92,5.82,10.00,10.00,10.00
25255.696748,-0.10,4.95,10.00,10.00,10.00,-0.09,4.95,10.00,10.00,10.00
25534.627508,-14.10,4.06,10.00,10.00,10.00,-14.04,4.06,10.00,10.00,10.00
25811.826314,-4.36,3.15,9.99,10.00,10.00,-4.40,3.15,9.99,10.00,10.00
26075.138628,-11.53,2.35,9.99,10.00,10.00,-11.50,2.35,9.99,10.00,10.00
26348.632659,-10.53,1.58,9.99,10.00,10.00,-10.53,1.59,9.99,10.00,10.00
26615.044874,-7.68,0.94,9.98,10.00,10.00,-7.69,0.94,9.98,10.00,10.00
26882.694415,-15.85,0.43,9.98,10.00,10.00,-15.82,0.43,9.98,10.00,10.00
27153.486211,-22.92,0.06,9.97,10.00,10.00,-22.89,0.06,9.97,10.00,10.00
27416.199900,-23.82,-0.14,9.96,10.00,10.00,-23.82,-0.14,9.96,10.00,10.00
27671.958869,-0.79,-0.16,9.95,10.00,10.00,-0.89,-0.16,9.95,10.00,10.00
27926.961480,2.40,-0.04,9.94,10.00,10.00,2.39,-0.04,9.94,10.00,10.00
28205.664839,-10.00,0.25,9.92,10.00,10.00,-9.95,0.25,9.92,10.00,10.00
28487.850985,-7.88,0.73,9.89,10.00,10.00,-7.89,0.73,9.89,10.00,10.00
28757.568794,-2.34,1.32,9.87,10.00,10.00,-2.37,1.32,9.87,10.00,10.00
29029.694040,4.22,2.01,9.83,10.00,10.00,4.20,2.00,9.83,10.00,10.00
29307.643864,9.84,2.77,9.80,10.00,10.00,9.81,2.76,9.80,10.00,10.00
29592.494206,14.46,3.58,9.75,10.00,10.00,14.44,3.58,9.75,10.00,10.00
29882.047973,15.60,4.42,9.70,10.00,10.00,15.60,4.41,9.70,10.00,10.00
30175.178384,13.43,5.25,9.63,10.00,10.00,13.44,5.24,9.63,10.00,10.00
30471.684677,28.09,6.04,9.56,10.00,10.00,28.04,6.04,9.56,10.00,10.00
30751.649428,21.27,6.70,9.48,10.00,10.00,21.30,6.69,9.48,10.00,10.00
31052.727414,23.66,7.32,9.39,10.00,10.00,23.65,7.31,9.39,10.00,10.00
31344.646082,12.99,7.80,9.28,10.00,10.00,13.03,7.80,9.28,10.00,10.00
31642.565290,19.72,8.17,9.16,10.00,10.00,19.69,8.17,9.16,10.00,10.00
31929.654053,19.06,8.38,9.04,10.00,10.00,19.06,8.38,9.04,10.00,10.00
32223.753959,16.23,8.44,8.90,10.00,10.00,16.24,8.44,8.90,10.00,10.00
32517.305393,7.95,8.36,8.75,10.00,10.00,7.98,8.36,8.75,10.00,10.00
32808.423015,8.52,8.13,8.58,10.00,10.00,8.52,8.13,8.58,10.00,10.00
33091.700380,14.99,7.77,8.42,10.00,10.00,14.96,7.77,8.42,10.00,10.00
33375.785350,2.58,7.32,8.25,10.00,10.00,2.63,7.32,8.25,10.00,10.00
33666.658373,0.70,6.74,8.06,10.00,10.00,0.71,6.74,8.06,10.00,10.00
33945.368023,2.09,6.11,7.88,10.00,10.00,2.09,6.11,7.88,10.00,10.00
34222.523599,-10.91,5.45,7.70,10.00,10.00,-10.85,5.46,7.70,10.00,10.00
34501.283364,-5.67,4.76,7.51,10.00,10.00,-5.69,4.76,7.51,10.00,10.00
34767.149456,-13.39,4.13,7.35,10.00,10.00,-13.35,4.13,7.35,10.00,10.00
35038.623146,-20.64,3.51,7.18,10.00,10.00,-20.61,3.52,7.18,10.00,10.00
35302.585564,-0.56,2.98,7.03,10.00,10.00,-0.65,2.98,7.03,10.00,10.00
35559.369703,-21.58,2.58,6.91,10.00,10.00,-21.48,2.59,6.91,10.00,10.00
35836.768909,-15.84,2.25,6.79,10.00,10.00,-15.86,2.25,6.79,10.00,10.00
36093.070868,-10.42,2.08,6.70,10.00,10.00,-10.45,2.08,6.70,10.00,10.00
36355.515128,-13.96,2.03,6.63,10.00,10.00,-13.95,2.03,6.64,10.00,10.00
36623.649126,-5.02,2.12,6.59,10.00,10.00,-5.06,2.12,6.59,10.00,10.00
36888.381275,-2.88,2.33,6.57,10.00,10.00,-2.89,2.33,6.57,10.00,10.00
37162.479906,-3.35,2.67,6.56,10.00,10.00,-3.35,2.67,6.56,10.00,10.00
37439.053641,3.95,3.13,6.58,10.00,10.00,3.92,3.13,6.58,10.00,10.00
37715.342871,5.39,3.66,6.61,10.00,10.00,5.38,3.66,6.61,10.00,10.00
37999.290591,3.70,4.27,6.66,10.00,10.00,3.70,4.27,6.66,10.00,10.00
38284.939125,3.71,4.93,6.71,10.00,10.00,3.71,4.93,6.71,10.00,10.00
38569.115057,10.49,5.60,6.77,10.00,10.00,10.46,5.60,6.77,10.00,10.00
38853.550420,12.56,6.25,6.83,10.00,10.00,12.55,6.24,6.83,10.00,10.00
39145.104036,12.68,6.85,6.87,10.00,10.00,12.68,6.85,6.87,10.00,10.00
39438.983704,14.07,7.39,6.91,10.00,10.00,14.07,7.39,6.91,10.00,10.00
39731.845214,17.61,7.82,6.92,10.00,10.00,17.59,7.82,6.92,10.00,10.00
40022.555113,19.80,8.13,6.91,10.00,10.00,19.79,8.13,6.91,10.00,10.00
40314.642336,22.76,8.31,6.87,10.00,10.00,22.75,8.31,6.87,10.00,10.00
40605.989021,16.60,8.35,6.81,10.00,10.00,16.62,8.35,6.81,10.00,10.00
40904.185969,16.47,8.23,6.70,10.00,10.00,16.47,8.23,6.70,10.00,10.00
41196.851622,9.12,7.96,6.56,9.99,10.00,9.15,7.96,6.56,9.99,10.00
41490.309465,19.05,7.53,6.38,9.99,10.00,19.01,7.53,6.38,9.99,10.00
41774.592671,6.29,6.99,6.19,9.99,10.00,6.35,6.99,6.19,9.99,10.00
42071.066900,2.98,6.28,5.94,9.99,10.00,2.99,6.28,5.94,9.99,10.00
42355.051850,-4.57,5.48,5.67,9.98,10.00,-4.54,5.49,5.67,9.98,10.00
42636.044886,-3.80,4.60,5.37,9.98,10.00,-3.80,4.60,5.38,9.98,10.00
42909.672377,2.59,3.70,5.08,9.98,10.00,2.56,3.70,5.08,9.98,10.00
43184.377389,-1.66,2.81,4.78,9.97,10.00,-1.64,2.81,4.78,9.97,10.00
43465.887802,-9.37,1.91,4.47,9.96,10.00,-9.33,1.91,4.47,9.96,10.00
43743.385356,-12.48,1.06,4.17,9.95,10.00,-12.46,1.06,4.17,9.95,10.00
44013.329434,-19.07,0.31,3.89,9.94,10.00,-19.04,0.32,3.89,9.94,10.00
44280.344297,-17.90,-0.31,3.64,9.93,10.00,-17.90,-0.31,3.64,9.93,10.00
44540.814946,-15.58,-0.78,3.42,9.91,10.00,-15.59,-0.78,3.43,9.91,10.00
44802.700261,-8.33,-1.08,3.25,9.90,10.00,-8.36,-1.08,3.25,9.90,10.00
45067.188584,-20.11,-1.21,3.13,9.88,10.00,-20.06,-1.21,3.13,9.88,10.00
45339.375256,-20.56,-1.15,3.05,9.85,10.00,-20.56,-1.15,3.05,9.85,10.00
45599.706858,2.02,-0.91,3.02,9.82,10.00,1.92,-0.91,3.02,9.82,10.00
45859.729980,-11.43,-0.54,3.04,9.79,10.00,-11.37,-0.54,3.04,9.79,10.00
46143.158478,3.95,0.06,3.12,9.75,10.00,3.89,0.05,3.12,9.75,10.00
46412.966411,9.03,0.71,3.23,9.71,10.00,9.00,0.71,3.23,9.71,10.00
46698.861047,18.16,1.49,3.39,9.67,10.00,18.12,1.49,3.38,9.67,10.00
46983.927737,13.13,2.32,3.57,9.62,10.00,13.15,2.31,3.57,9.62,10.00
47283.363540,15.40,3.24,3.79,9.56,10.00,15.39,3.23,3.79,9.56,10.00
47575.334974,9.07,4.12,4.02,9.50,10.00,9.09,4.12,4.02,9.50,10.00
47872.316506,18.96,5.01,4.28,9.42,10.00,18.92,5.00,4.28,9.42,10.00
48156.636871,14.95,5.75,4.52,9.35,10.00,14.96,5.75,4.52,9.35,10.00
48454.709755,19.55,6.44,4.76,9.27,10.00,19.53,6.44,4.76,9.27,10.00
48744.373727,16.58,6.98,4.99,9.18,10.00,16.59,6.97,4.98,9.18,10.00
49041.283150,17.87,7.37,5.19,9.08,10.00,17.86,7.37,5.19,9.08,10.00
49334.265183,25.16,7.59,5.37,8.98,10.00,25.13,7.59,5.37,8.98,10.00
49621.363458,23.42,7.64,5.51,8.88,10.00,23.43,7.64,5.51,8.88,10.00
49917.370737,8.10,7.51,5.61,8.78,10.00,8.16,7.51,5.61,8.78,10.00
50216.091764,9.90,7.19,5.69,8.66,10.00,9.89,7.19,5.69,8.66,10.00
50500.129516,5.08,6.73,5.72,8.54,10.00,5.10,6.73,5.72,8.54,10.00
50786.445891,-2.69,6.11,5.71,8.42,10.00,-2.66,6.11,5.71,8.42,10.00
51068.264656,1.37,5.35,5.66,8.29,10.00,1.35,5.36,5.66,8.29,10.00
51342.521314,-2.31,4.55,5.59,8.17,10.00,-2.29,4.55,5.59,8.17,10.00
51621.144817,-7.83,3.66,5.48,8.05,10.00,-7.81,3.66,5.48,8.05,10.00
51896.305900,1.52,2.74,5.36,7.92,10.00,1.48,2.75,5.36,7.92,10.00
52166.134181,-2.90,1.89,5.22,7.81,10.00,-2.88,1.89,5.22,7.81,10.00
52445.773016,-4.36,1.03,5.08,7.69,10.00,-4.36,1.04,5.08,7.69,10.00
52721.113420,0.95,0.27,4.93,7.58,10.00,0.93,0.28,4.93,7.58,10.00
52995.167427,-23.65,-0.37,4.80,7.48,10.00,-23.55,-0.36,4.80,7.48,10.00
53274.872847,0.29,-0.92,4.67,7.37,10.00,0.19,-0.92,4.67,7.37,10.00
53529.744767,-18.75,-1.26,4.58,7.28,10.00,-18.67,-1.26,4.58,7.28,10.00
53809.311048,-17.00,-1.46,4.50,7.19,10.00,-17.00,-1.46,4.50,7.19,10.00
