time_hours,Tf_0*L,Tf_0.25*L,Tf_0.50*L,Tf_0.75*L,Tf_1*L,Ts_0*L,Ts_0.25*L,Ts_0.50*L,Ts_0.75*L,Ts_1*L
0.000000,15.50,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00
0.033333,15.49,20.00,20.00,20.00,20.00,19.45,20.00,20.00,20.00,20.00
0.066667,15.48,20.00,20.00,20.00,20.00,18.96,20.00,20.00,20.00,20.00
0.100000,15.47,20.00,20.00,20.00,20.00,18.53,20.00,20.00,20.00,20.00
0.133333,15.46,20.00,20.00,20.00,20.00,18.16,20.00,20.00,20.00,20.00
0.166667,15.45,20.00,20.00,20.00,20.00,17.83,20.00,20.00,20.00,20.00
0.200000,15.44,20.00,20.00,20.00,20.00,17.53,20.00,20.00,20.00,20.00
0.233333,15.43,20.00,20.00,20.00,20.00,17.28,20.00,20.00,20.00,20.00
0.266667,15.42,20.00,20.00,20.00,20.00,17.05,20.00,20.00,20.00,20.00
0.300000,15.41,20.00,20.00,20.00,20.00,16.85,20.00,20.00,20.00,20.00
0.333333,15.40,20.00,20.00,20.00,20.00,16.67,20.00,20.00,20.00,20.00
0.366667,15.39,20.00,20.00,20.00,20.00,16.51,20.00,20.00,20.00,20.00
0.400000,15.38,20.00,20.00,20.00,20.00,16.37,20.00,20.00,20.00,20.00
0.433333,15.37,20.00,20.00,20.00,20.00,16.25,20.00,20.00,20.00,20.00
0.466667,15.36,20.00,20.00,20.00,20.00,16.14,20.00,20.00,20.00,20.00
0.500000,15.35,20.00,20.00,20.00,20.00,16.04,20.00,20.00,20.00,20.00
0.533333,15.34,20.00,20.00,20.00,20.00,15.96,20.00,20.00,20.00,20.00
0.566667,15.33,20.00,20.00,20.00,20.00,15.88,20.00,20.00,20.00,20.00
0.600000,15.32,20.00,20.00,20.00,20.00,15.81,20.00,20.00,20.00,20.00
0.633333,15.31,20.00,20.00,20.00,20.00,15.75,20.00,20.00,20.00,20.00
0.666667,15.30,20.00,20.00,20.00,20.00,15.70,20.00,20.00,20.00,20.00
0.700000,15.29,20.00,20.00,20.00,20.00,15.65,20.00,20.00,20.00,20.00
0.733333,15.28,20.00,20.00,20.00,20.00,15.60,20.00,20.00,20.00,20.00
0.766667,15.27,20.00,20.00,20.00,20.00,15.56,20.00,20.00,20.00,20.00
0.800000,15.26,20.00,20.00,20.00,20.00,15.52,20.00,20.00,20.00,20.00
0.833333,15.25,20.00,20.00,20.00,20.00,15.49,20.00,20.00,20.00,20.00
0.866667,15.24,20.00,20.00,20.00,20.00,15.46,20.00,20.00,20.00,20.00
0.900000,15.23,20.00,20.00,20.00,20.00,15.43,20.00,20.00,20.00,20.00
0.933333,15.22,20.00,20.00,20.00,20.00,15.41,20.00,20.00,20.00,20.00
0.966667,15.21,20.00,20.00,20.00,20.00,15.38,20.00,20.00,20.00,20.00
1.000000,15.20,20.00,20.00,20.00,20.00,15.36,20.00,20.00,20.00,20.00
1.033333,15.15,20.00,20.00,20.00,20.00,15.33,20.00,20.00,20.00,20.00
1.066667,15.10,20.00,20.00,20.00,20.00,15.31,20.00,20.00,20.00,20.00
1.100000,15.05,20.00,20.00,20.00,20.00,15.27,20.00,20.00,20.00,20.00
1.133333,15.00,20.00,20.00,20.00,20.00,15.24,20.00,20.00,20.00,20.00
1.166667,14.95,20.00,20.00,20.00,20.00,15.20,20.00,20.00,20.00,20.00
1.200000,14.90,20.00,20.00,20.00,20.00,15.17,20.00,20.00,20.00,20.00
1.233333,14.85,20.00,20.00,20.00,20.00,15.13,20.00,20.00,20.00,20.00
1.266667,14.80,20.00,20.00,20.00,20.00,15.09,20.00,20.00,20.00,20.00
1.300000,14.75,20.00,20.00,20.00,20.00,15.05,20.00,20.00,20.00,20.00
1.333333,14.70,20.00,20.00,20.00,20.00,15.00,20.00,20.00,20.00,20.00
1.366667,14.65,20.00,20.00,20.00,20.00,14.96,20.00,20.00,20.00,20.00
1.400000,14.60,20.00,20.00,20.00,20.00,14.92,20.00,20.00,20.00,20.00
1.433333,14.55,20.00,20.00,20.00,20.00,14.87,20.00,20.00,20.00,20.00
1.466667,14.50,20.00,20.00,20.00,20.00,14.83,20.00,20.00,20.00,20.00
1.500000,14.45,20.00,20.00,20.00,20.00,14.78,20.00,20.00,20.00,20.00
1.533333,14.40,20.00,20.00,20.00,20.00,14.73,20.00,20.00,20.00,20.00
1.566667,14.35,20.00,20.00,20.00,20.00,14.69,20.00,20.00,20.00,20.00
1.600000,14.30,20.00,20.00,20.00,20.00,14.64,20.00,20.00,20.00,20.00
1.633333,14.25,20.00,20.00,20.00,20.00,14.59,20.00,20.00,20.00,20.00
1.666667,14.20,20.00,20.00,20.00,20.00,14.54,20.00,20.00,20.00,20.00
1.700000,14.15,20.00,20.00,20.00,20.00,14.50,20.00,20.00,20.00,20.00
1.733333,14.10,20.00,20.00,20.00,20.00,14.45,20.00,20.00,20.00,20.00
1.766667,14.05,20.00,20.00,20.00,20.00,14.40,20.00,20.00,20.00,20.00
1.800000,14.00,20.00,20.00,20.00,20.00,14.35,20.00,20.00,20.00,20.00
1.833333,13.95,20.00,20.00,20.00,20.00,14.30,20.00,20.00,20.00,20.00
1.866667,13.90,20.00,20.00,20.00,20.00,14.25,20.00,20.00,20.00,20.00
1.900000,13.85,20.00,20.00,20.00,20.00,14.20,20.00,20.00,20.00,20.00
1.933333,13.80,20.00,20.00,20.00,20.00,14.15,20.00,20.00,20.00,20.00
1.966667,13.75,20.00,20.00,20.00,20.00,14.10,20.00,20.00,20.00,20.00
2.000000,13.70,20.00,20.00,20.00,20.00,14.05,20.00,20.00,20.00,20.00
