time_hours,Tf_0*L,Tf_0.25*L,Tf_0.50*L,Tf_0.75*L,Tf_1*L,Ts_0*L,Ts_0.25*L,Ts_0.50*L,Ts_0.75*L,Ts_1*L
0.000000,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
0.000278,10.21,10.06,10.02,10.01,10.00,10.00,10.00,10.00,10.00,10.00
0.000611,10.46,10.15,10.05,10.02,10.00,10.00,10.00,10.00,10.00,10.00
0.001011,10.76,10.24,10.08,10.03,10.01,10.01,10.00,10.00,10.00,10.00
0.001491,11.12,10.36,10.12,10.04,10.01,10.01,10.00,10.00,10.00,10.00
0.002067,11.56,10.51,10.17,10.06,10.02,10.02,10.01,10.00,10.00,10.00
0.002758,12.08,10.68,10.23,10.08,10.03,10.04,10.01,10.00,10.00,10.00
0.003588,12.70,10.89,10.30,10.10,10.03,10.06,10.02,10.01,10.00,10.00
0.004583,13.45,11.14,10.39,10.13,10.05,10.10,10.03,10.01,10.00,10.00
0.005777,14.34,11.45,10.50,10.17,10.06,10.16,10.05,10.02,10.01,10.00
0.007211,15.41,11.82,10.63,10.22,10.08,10.24,10.08,10.03,10.01,10.00
0.008931,16.68,12.27,10.79,10.27,10.10,10.36,10.12,10.04,10.01,10.01
0.010995,18.18,12.81,10.99,10.35,10.12,10.54,10.18,10.06,10.02,10.01
0.013471,19.96,13.47,11.23,10.44,10.16,10.80,10.27,10.09,10.03,10.01
0.016443,22.05,14.26,11.54,10.56,10.20,11.16,10.40,10.14,10.05,10.02
0.020010,24.46,15.20,11.91,10.70,10.26,11.67,10.58,10.21,10.07,10.03
0.024289,27.20,16.32,12.37,10.89,10.34,12.38,10.84,10.31,10.11,10.04
0.029425,30.22,17.62,12.92,11.12,10.43,13.35,11.20,10.44,10.16,10.06
0.035588,33.40,19.09,13.58,11.41,10.56,14.63,11.70,10.64,10.24,10.09
0.042983,36.46,20.68,14.35,11.76,10.72,16.29,12.37,10.92,10.36,10.14
0.051858,38.93,22.26,15.21,12.19,10.92,18.31,13.24,11.29,10.51,10.21
0.062507,40.00,23.58,16.08,12.67,11.17,20.59,14.31,11.79,10.74,10.31
0.075286,38.46,24.18,16.83,13.18,11.47,22.80,15.51,12.39,11.03,10.45
0.090621,32.81,23.39,17.16,13.62,11.78,24.25,16.64,13.07,11.39,10.63
