time_hours,Tf_0*L,Tf_0.25*L,Tf_0.50*L,Tf_0.75*L,Tf_1*L,Ts_0*L,Ts_0.25*L,Ts_0.50*L,Ts_0.75*L,Ts_1*L
0.000000,-3.50,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
0.000278,-3.50,10.00,10.00,10.00,10.00,9.99,10.00,10.00,10.00,10.00
0.000611,-3.50,10.00,10.00,10.00,10.00,9.98,10.00,10.00,10.00,10.00
0.001011,-3.50,10.00,10.00,10.00,10.00,9.97,10.00,10.00,10.00,10.00
0.001491,-3.50,10.00,10.00,10.00,10.00,9.96,10.00,10.00,10.00,10.00
0.002067,-3.50,10.00,10.00,10.00,10.00,9.95,10.00,10.00,10.00,10.00
0.002758,-3.50,10.00,10.00,10.00,10.00,9.93,10.00,10.00,10.00,10.00
0.003588,-3.50,10.00,10.00,10.00,10.00,9.91,10.00,10.00,10.00,10.00
0.004583,-3.50,10.00,10.00,10.00,10.00,9.88,10.00,10.00,10.00,10.00
0.005777,-3.50,10.00,10.00,10.00,10.00,9.85,10.00,10.00,10.00,10.00
0.007211,-3.50,10.00,10.00,10.00,10.00,9.82,10.00,10.00,10.00,10.00
0.008931,-3.50,10.00,10.00,10.00,10.00,9.78,10.00,10.00,10.00,10.00
0.010995,-3.50,10.00,10.00,10.00,10.00,9.72,10.00,10.00,10.00,10.00
0.013471,-3.50,10.00,10.00,10.00,10.00,9.66,10.00,10.00,10.00,10.00
0.016443,-3.50,10.00,10.00,10.00,10.00,9.59,10.00,10.00,10.00,10.00
0.020010,-3.50,10.00,10.00,10.00,10.00,9.50,10.00,10.00,10.00,10.00
0.024289,-3.50,10.00,10.00,10.00,10.00,9.40,10.00,10.00,10.00,10.00
0.029425,-3.50,10.00,10.00,10.00,10.00,9.28,10.00,10.00,10.00,10.00
0.035588,-3.50,10.00,10.00,10.00,10.00,9.13,10.00,10.00,10.00,10.00
0.042983,-3.50,10.00,10.00,10.00,10.00,8.96,10.00,10.00,10.00,10.00
0.051858,-3.50,10.00,10.00,10.00,10.00,8.75,10.00,10.00,10.00,10.00
0.062507,-3.50,10.00,10.00,10.00,10.00,8.51,10.00,10.00,10.00,10.00
0.075286,-3.50,10.00,10.00,10.00,10.00,8.23,10.00,10.00,10.00,10.00
0.090621,-3.50,10.00,10.00,10.00,10.00,7.90,10.00,10.00,10.00,10.00
0.109023,-3.50,10.00,10.00,10.00,10.00,7.52,10.00,10.00,10.00,10.00
0.131106,-3.50,10.00,10.00,10.00,10.00,7.08,10.00,10.00,10.00,10.00
0.157605,-3.50,10.00,10.00,10.00,10.00,6.58,10.00,10.00,10.00,10.00
0.189404,-3.50,10.00,10.00,10.00,10.00,6.01,10.00,10.00,10.00,10.00
0.227562,-3.50,10.00,10.00,10.00,10.00,5.37,10.00,10.00,10.00,10.00
0.273352,-3.50,10.00,10.00,10.00,10.00,4.67,10.00,10.00,10.00,10.00
0.328300,-3.50,10.00,10.00,10.00,10.00,3.90,10.00,10.00,10.00,10.00
0.394238,-3.50,10.00,10.00,10.00,10.00,3.09,10.00,10.00,10.00,10.00
0.473364,-3.50,10.00,10.00,10.00,10.00,2.23,10.00,10.00,10.00,10.00
0.568314,-3.50,10.00,10.00,10.00,10.00,1.37,10.00,10.00,10.00,10.00
0.682255,-3.50,10.00,10.00,10.00,10.00,0.51,10.00,10.00,10.00,10.00
0.818984,-3.50,10.00,10.00,10.00,10.00,-0.31,10.00,10.00,10.00,10.00
0.983058,-3.50,10.00,10.00,10.00,10.00,-1.06,10.00,10.00,10.00,10.00
1.179948,-3.84,10.00,10.00,10.00,10.00,-1.81,10.00,10.00,10.00,10.00
1.416215,-4.29,10.00,10.00,10.00,10.00,-2.58,10.00,10.00,10.00,10.00
