# W0,eps,Dp,L,lamda,Tf0,V0,rhof0,cpf0,muf0,kf0,Rep,Pr,c0,c1,c2,r2
1.0000000e-03,2.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9998883e+02,8.5324426e-02,1.1719973e+00,1.0096693e+03,1.8501220e-05,2.5834008e-02,1.0810098e+02,7.2308228e-01,-7.7645628e-04,3.3188741e-01,9.4436317e-01,1.8589810e-01
3.0000000e-03,2.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999109e+02,2.5597521e-01,1.1719885e+00,1.0096696e+03,1.8501328e-05,2.5834166e-02,3.2430105e+02,7.2308228e-01,5.0755307e-03,1.0022621e+01,9.4305266e-01,9.8470076e-01
6.0000000e-03,2.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999763e+02,5.1196157e-01,1.1719630e+00,1.0096704e+03,1.8501641e-05,2.5834625e-02,6.4859112e+02,7.2308228e-01,9.1935250e-03,6.6517525e+00,9.4229527e-01,9.9388174e-01
9.0000000e-03,2.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999391e+02,7.6793283e-01,1.1719775e+00,1.0096699e+03,1.8501463e-05,2.5834364e-02,9.7289605e+02,7.2308228e-01,1.3745512e-02,4.8708622e+00,9.4146824e-01,9.9854941e-01
1.2000000e-02,2.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999306e+02,1.0239075e+00,1.1719808e+00,1.0096698e+03,1.8501422e-05,2.5834304e-02,1.2971976e+03,7.2308228e-01,1.8105368e-02,3.7958417e+00,9.4065315e-01,9.9984316e-01
1.5000000e-02,2.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999817e+02,1.2799062e+00,1.1719609e+00,1.0096705e+03,1.8501666e-05,2.5834662e-02,1.6214756e+03,7.2308228e-01,2.2928845e-02,2.9937423e+00,9.4018823e-01,9.9981814e-01
1.8000000e-02,2.5000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999546e+02,1.5358736e+00,1.1719714e+00,1.0096701e+03,1.8501537e-05,2.5834473e-02,1.9457843e+03,7.2308228e-01,2.5588847e-02,2.6065229e+00,9.3947471e-01,9.9966068e-01
1.0000000e-03,3.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9998902e+02,8.5324478e-02,1.1719966e+00,1.0096693e+03,1.8501229e-05,2.5834021e-02,1.0810093e+02,7.2308228e-01,-7.5361453e-04,2.8548620e-01,9.4433960e-01,1.5109827e-01
3.0000000e-03,3.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999124e+02,2.5597533e-01,1.1719879e+00,1.0096696e+03,1.8501335e-05,2.5834176e-02,3.2430093e+02,7.2308228e-01,5.1513988e-03,9.2640767e+00,9.4302133e-01,9.8776373e-01
6.0000000e-03,3.0000000e-01,2.0000000e-02,1.5000000e-01,3.0000000e+02,2.9999756e+02,5.1196145e-01,1.1719632e+00,1.0096704e+03,1.8501638e-05,2.5834620e-02,6.4859124e+02,7.2308228e-01,9.4002989e-03,6.1415791e+00,9.4222604e-01,9.9575964e-01
