# run,W0,D,L,Dp,delDp,phi,Dpcorr,eps,pamb,dpsErg,dpsK,Tmean,phase,phaseshift,TampL,timex,Nuf,Nus,Nuact
0.0000000e+00,1.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,2.5000000e-01,1.0132500e+05,7.9522895e+00,9.6003664e+00,2.8312924e+02,8.1009570e-02,5.1988796e-03,7.6160391e-03,8.6245706e-01,1.9685764e+00,1.9439672e+00,1.8516147e+01
1.0000000e+00,3.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,2.5000000e-01,1.0132500e+05,5.4282985e+01,7.7482885e+01,2.8310357e+02,8.4457562e-02,1.5414513e-02,3.2817630e-01,8.7264838e-01,7.1218026e+00,7.0851756e+00,3.5033821e+01
2.0000000e+00,6.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,2.5000000e-01,1.0132500e+05,1.9984432e+02,3.0101113e+02,2.8313442e+02,8.4389621e-02,1.7338501e-02,1.3073544e+00,6.2350377e-01,1.4365258e+01,1.4285017e+01,5.2486411e+01
3.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,2.5000000e-01,1.0132500e+05,4.3668400e+02,6.7058473e+02,2.8309088e+02,8.2863388e-02,1.7341380e-02,2.6054701e+00,4.5595950e-01,1.9654858e+01,1.9628069e+01,6.7536334e+01
4.0000000e+00,1.2000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,2.5000000e-01,1.0132500e+05,7.6480203e+02,1.1862037e+03,2.8310709e+02,8.3196951e-02,1.7337100e-02,4.0892452e+00,3.7222590e-01,2.8460944e+01,2.8496948e+01,8.0952672e+01
5.0000000e+00,1.5000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,2.5000000e-01,1.0132500e+05,1.1841984e+03,1.8478680e+03,2.8312248e+02,8.3394963e-02,1.6466193e-02,5.6696888e+00,3.7170633e-01,3.3096716e+01,3.3059632e+01,9.3302598e+01
6.0000000e+00,1.8000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,2.5000000e-01,1.0132500e+05,1.6948731e+03,2.6555777e+03,2.8314142e+02,8.3528321e-02,1.6593280e-02,7.2754978e+00,2.8785089e-01,4.6473451e+01,4.4462938e+01,1.0490866e+02
7.0000000e+00,1.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.0000000e-01,1.0132500e+05,4.1914687e+00,5.1318484e+00,2.8315779e+02,8.3620232e-02,7.8096234e-03,1.5988875e-02,8.6507854e-01,2.1940824e+00,2.1660439e+00,1.8599290e+01
8.0000000e+00,3.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.0000000e-01,1.0132500e+05,2.9008265e+01,4.1689720e+01,2.8306197e+02,8.1845649e-02,1.2803401e-02,4.3401678e-01,8.7000692e-01,8.0635655e+00,8.0116829e+00,3.5337219e+01
9.0000000e+00,6.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.0000000e-01,1.0132500e+05,1.0731811e+02,1.6226196e+02,2.8308060e+02,8.2175437e-02,1.5125492e-02,1.5772893e+00,6.2128042e-01,1.6944368e+01,1.6849143e+01,5.3149811e+01
1.0000000e+01,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.0000000e-01,1.0132500e+05,2.3492953e+02,3.6171673e+02,2.8315274e+02,8.4335415e-02,1.7341038e-02,3.0231731e+00,4.5596176e-01,2.5951438e+01,2.5883881e+01,6.8581597e+01
1.1000000e+01,1.2000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.0000000e-01,1.0132500e+05,4.1184252e+02,6.4005402e+02,2.8311387e+02,8.3198285e-02,1.6236049e-02,4.6355907e+00,3.7113514e-01,2.9743517e+01,2.9693588e+01,8.2385714e+01
1.2000000e+01,1.5000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.0000000e-01,1.0132500e+05,6.3805710e+02,9.9727383e+02,2.8313444e+02,8.3396937e-02,1.5586068e-02,6.3182357e+00,2.8745233e-01,3.4196137e+01,3.4141938e+01,9.5125084e+01
1.3000000e+01,1.8000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.0000000e-01,1.0132500e+05,9.1357325e+02,1.4333762e+03,2.8315001e+02,8.3535234e-02,1.5862308e-02,8.0137546e+00,2.8715044e-01,4.6942232e+01,4.6904039e+01,1.0712087e+02
1.4000000e+01,1.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,2.3903198e+00,2.9695762e+00,2.8315271e+02,8.3620363e-02,7.8095863e-03,3.1022757e-02,8.6507361e-01,2.4170578e+00,2.3848506e+00,1.8708305e+01
1.5000000e+01,3.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,1.6780763e+01,2.4284414e+01,2.8306412e+02,8.1844509e-02,1.2803278e-02,5.7045851e-01,8.7000110e-01,8.5985548e+00,8.5144925e+00,3.5729492e+01
1.6000000e+01,6.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,6.2390936e+01,9.4695885e+01,2.8315448e+02,8.4384751e-02,1.5160221e-02,1.8979058e+00,5.3910721e-01,1.6136894e+01,1.3878282e+01,5.3955757e+01
1.7000000e+01,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,1.3683052e+02,2.1123441e+02,2.8310154e+02,8.2863257e-02,1.5869099e-02,3.5093130e+00,4.5449240e-01,2.3989509e+01,2.3925030e+01,6.9903337e+01
1.8000000e+01,1.2000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,2.4009951e+02,3.7390000e+02,2.8311922e+02,8.3200006e-02,1.6235455e-02,5.2565456e+00,3.7114834e-01,3.3976519e+01,3.3914955e+01,8.4185017e+01
1.9000000e+01,1.5000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,3.7219792e+02,5.8269264e+02,2.8314038e+02,8.3402121e-02,1.5585406e-02,7.0474556e+00,2.8747413e-01,3.7002323e+01,3.6954501e+01,9.7400137e+01
2.0000000e+01,1.8000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,3.5000000e-01,1.0132500e+05,5.3312573e+02,8.3761233e+02,2.8315978e+02,8.3543703e-02,1.5132078e-02,8.8294658e+00,2.8645570e-01,5.3574069e+01,5.3521795e+01,1.0986918e+02
