[Name]
code1d

[Data]
y,Tf,Ts,hact,Qact,Nuact
1.5000000e-01,2.9999933e+02,2.8731618e+02,9.7537394e+01,-1.2370821e+03,7.5508698e+01
1.4210526e-01,2.9830426e+02,2.8646063e+02,8.4932466e+01,-1.1498758e+03,7.5508698e+01
1.3421053e-01,2.9673039e+02,2.8572753e+02,7.4527992e+01,-1.0636488e+03,7.5508698e+01
1.2631579e-01,2.9528033e+02,2.8510049e+02,6.5787787e+01,-9.8016203e+02,7.5508698e+01
1.1842105e-01,2.9394336e+02,2.8456880e+02,5.8279811e+01,-8.9928874e+02,7.5508698e+01
1.1052632e-01,2.9272267e+02,2.8411879e+02,5.1796564e+01,-8.2255775e+02,7.5508698e+01
1.0263158e-01,2.9160332e+02,2.8374221e+02,4.6084199e+01,-7.4919636e+02,7.5508698e+01
9.4736842e-02,2.9059075e+02,2.8342788e+02,4.1077455e+01,-6.8071318e+02,7.5508698e+01
8.6842105e-02,2.8966576e+02,2.8316937e+02,3.6587581e+01,-6.1576763e+02,7.5508698e+01
7.8947368e-02,2.8883763e+02,2.8295782e+02,3.2627374e+01,-5.5601976e+02,7.5508698e+01
7.1052632e-02,2.8808241e+02,2.8278797e+02,2.9026898e+01,-4.9959250e+02,7.5508698e+01
6.3157895e-02,2.8741469e+02,2.8265330e+02,2.5852600e+01,-4.4844008e+02,7.5508698e+01
5.5263158e-02,2.8680494e+02,2.8254894e+02,2.2930438e+01,-4.0014522e+02,7.5508698e+01
4.7368421e-02,2.8627464e+02,2.8247094e+02,2.0371420e+01,-3.5707832e+02,7.5508698e+01
3.9473684e-02,2.8578748e+02,2.8241395e+02,1.7983880e+01,-3.1625344e+02,7.5508698e+01
3.1578947e-02,2.8537342e+02,2.8237704e+02,1.5920931e+01,-2.8056338e+02,7.5508698e+01
2.3684211e-02,2.8498790e+02,2.8235335e+02,1.3964080e+01,-2.4640989e+02,7.5508698e+01
1.5789474e-02,2.8467112e+02,2.8234568e+02,1.2309098e+01,-2.1730051e+02,7.5508698e+01
7.8947368e-03,2.8436853e+02,2.8234445e+02,1.0703852e+01,-1.8897527e+02,7.5508698e+01
0.0000000e+00,2.8413245e+02,2.8235718e+02,9.3884878e+00,-1.6563315e+02,7.5508698e+01
