[Name]
code1d

[Data]
y,Tf,Ts,hact,hf,hs,Qact,Qf,Qs,Nuact,Nuf,Nus,del_ps,ps,Pt,xM,V,rhof,cpf,muf,kf
1.5000000e-01,2.9999933e+02,2.8731618e+02,9.7537394e+01,9.7450477e+01,9.7249586e+01,-1.2370821e+03,-1.2359797e+03,-1.2334317e+03,7.5508698e+01,7.5441411e+01,7.5285891e+01,5.1996699e+01,1.0137698e+05,1.0137732e+05,2.2067831e-03,7.6794671e-01,1.1719563e+00,1.0096706e+03,1.8501722e-05,2.5834744e-02
1.4210526e-01,2.9830426e+02,2.8646063e+02,8.4932466e+01,8.4971499e+01,8.4699889e+01,-1.1498758e+03,-1.1504043e+03,-1.1467270e+03,7.5508698e+01,6.6085206e+01,6.5873966e+01,4.9260030e+01,1.0137424e+05,1.0137459e+05,2.2005398e-03,7.6360761e-01,1.1786158e+00,1.0094519e+03,1.8420472e-05,2.5715740e-02
1.3421053e-01,2.9673039e+02,2.8572753e+02,7.4527992e+01,7.4550166e+01,7.4333465e+01,-1.0636488e+03,-1.0639653e+03,-1.0608726e+03,7.5508698e+01,5.8230805e+01,5.8061541e+01,4.6523362e+01,1.0137151e+05,1.0137185e+05,2.1947271e-03,7.5957877e-01,1.1848672e+00,1.0092485e+03,1.8344836e-05,2.5605061e-02
1.2631579e-01,2.9528033e+02,2.8510049e+02,6.5787787e+01,6.5805671e+01,6.5621179e+01,-9.8016203e+02,-9.8042848e+02,-9.7767977e+02,7.5508698e+01,5.1606361e+01,5.1461678e+01,4.3786694e+01,1.0136877e+05,1.0136911e+05,2.1893579e-03,7.5586686e-01,1.1906859e+00,1.0090610e+03,1.8274984e-05,2.5502930e-02
1.1842105e-01,2.9394336e+02,2.8456880e+02,5.8279811e+01,5.8299037e+01,5.8134913e+01,-8.9928874e+02,-8.9958540e+02,-8.9705288e+02,7.5508698e+01,4.5889166e+01,4.5759979e+01,4.1050025e+01,1.0136604e+05,1.0136638e+05,2.1843958e-03,7.5244446e-01,1.1961016e+00,1.0088879e+03,1.8210437e-05,2.5408628e-02
1.1052632e-01,2.9272267e+02,2.8411879e+02,5.1796564e+01,5.1819180e+01,5.1669337e+01,-8.2255775e+02,-8.2291690e+02,-8.2053731e+02,7.5508698e+01,4.0927526e+01,4.0809178e+01,3.8313357e+01,1.0136330e+05,1.0136364e+05,2.1798554e-03,7.4931970e-01,1.2010895e+00,1.0087297e+03,1.8151383e-05,2.5322410e-02
1.0263158e-01,2.9160332e+02,2.8374221e+02,4.6084199e+01,4.6110156e+01,4.5971902e+01,-7.4919636e+02,-7.4961835e+02,-7.4737074e+02,7.5508698e+01,3.6532660e+01,3.6423123e+01,3.5576688e+01,1.0136057e+05,1.0136090e+05,2.1756836e-03,7.4645435e-01,1.2057000e+00,1.0085845e+03,1.8097130e-05,2.5243251e-02
9.4736842e-02,2.9059075e+02,2.8342788e+02,4.1077455e+01,4.1106007e+01,4.0978006e+01,-6.8071318e+02,-6.8118633e+02,-6.7906516e+02,7.5508698e+01,3.2660673e+01,3.2558970e+01,3.2840020e+01,1.0135783e+05,1.0135817e+05,2.1719029e-03,7.4386235e-01,1.2099013e+00,1.0084530e+03,1.8047968e-05,2.5171562e-02
8.6842105e-02,2.8966576e+02,2.8316937e+02,3.6587581e+01,3.6617520e+01,3.6499427e+01,-6.1576763e+02,-6.1627151e+02,-6.1428401e+02,7.5508698e+01,2.9170329e+01,2.9076254e+01,3.0103352e+01,1.0135510e+05,1.0135543e+05,2.1684434e-03,7.4149455e-01,1.2137648e+00,1.0083328e+03,1.8002988e-05,2.5106004e-02
7.8947368e-02,2.8883763e+02,2.8295782e+02,3.2627374e+01,3.2657709e+01,3.2549124e+01,-5.5601976e+02,-5.5653671e+02,-5.5468626e+02,7.5508698e+01,2.6076878e+01,2.5990174e+01,2.7366683e+01,1.0135236e+05,1.0135269e+05,2.1653415e-03,7.3937467e-01,1.2172448e+00,1.0082251e+03,1.7962660e-05,2.5047253e-02
7.1052632e-02,2.8808241e+02,2.8278797e+02,2.9026898e+01,2.9056610e+01,2.8957504e+01,-4.9959250e+02,-5.0010387e+02,-4.9839812e+02,7.5508698e+01,2.3251214e+01,2.3171908e+01,2.4630015e+01,1.0134963e+05,1.0134996e+05,2.1625088e-03,7.3744142e-01,1.2204359e+00,1.0081268e+03,1.7925835e-05,2.4993629e-02
6.3157895e-02,2.8741469e+02,2.8265330e+02,2.5852600e+01,2.5881095e+01,2.5790973e+01,-4.4844008e+02,-4.4893436e+02,-4.4737109e+02,7.5508698e+01,2.0749546e+01,2.0677293e+01,2.1893347e+01,1.0134689e+05,1.0134722e+05,2.1600012e-03,7.3573218e-01,1.2232712e+00,1.0080398e+03,1.7893239e-05,2.4946179e-02
5.5263158e-02,2.8680494e+02,2.8254894e+02,2.2930438e+01,2.2957122e+01,2.2875831e+01,-4.0014522e+02,-4.0061087e+02,-3.9919230e+02,7.5508698e+01,1.8437368e+01,1.8372081e+01,1.9156678e+01,1.0134415e+05,1.0134448e+05,2.1577088e-03,7.3417134e-01,1.2258719e+00,1.0079604e+03,1.7863442e-05,2.4902819e-02
4.7368421e-02,2.8627464e+02,2.8247094e+02,2.0371420e+01,2.0396117e+01,2.0322921e+01,-3.5707832e+02,-3.5751122e+02,-3.5622822e+02,7.5508698e+01,1.6405428e+01,1.6346554e+01,1.6420010e+01,1.0134142e+05,1.0134175e+05,2.1557130e-03,7.3281386e-01,1.2281427e+00,1.0078912e+03,1.7837503e-05,2.4865084e-02
3.9473684e-02,2.8578748e+02,2.8241395e+02,1.7983880e+01,1.8006328e+01,1.7940978e+01,-3.1625344e+02,-3.1664820e+02,-3.1549899e+02,7.5508698e+01,1.4503455e+01,1.4450818e+01,1.3683342e+01,1.0133868e+05,1.0133901e+05,2.1538780e-03,7.3156681e-01,1.2302362e+00,1.0078277e+03,1.7813654e-05,2.4830398e-02
3.1578947e-02,2.8537342e+02,2.8237704e+02,1.5920931e+01,1.5941237e+01,1.5882829e+01,-2.8056338e+02,-2.8092121e+02,-2.7989192e+02,7.5508698e+01,1.2855369e+01,1.2808267e+01,1.0946673e+01,1.0133595e+05,1.0133627e+05,2.1523171e-03,7.3050687e-01,1.2320213e+00,1.0077736e+03,1.7793369e-05,2.4800902e-02
2.3684211e-02,2.8498790e+02,2.8235335e+02,1.3964080e+01,1.3982177e+01,1.3930473e+01,-2.4640989e+02,-2.4672922e+02,-2.4581686e+02,7.5508698e+01,1.1288044e+01,1.1246303e+01,8.2100050e+00,1.0133321e+05,1.0133354e+05,2.1508628e-03,7.2952001e-01,1.2336879e+00,1.0077233e+03,1.7774469e-05,2.4773427e-02
1.5789474e-02,2.8467112e+02,2.8234568e+02,1.2309098e+01,1.2325237e+01,1.2279256e+01,-2.1730051e+02,-2.1758543e+02,-2.1677370e+02,7.5508698e+01,9.9594488e+00,9.9222937e+00,5.4733367e+00,1.0133047e+05,1.0133080e+05,2.1496671e-03,7.2870911e-01,1.2350607e+00,1.0076819e+03,1.7758931e-05,2.4750841e-02
7.8947368e-03,2.8436853e+02,2.8234445e+02,1.0703852e+01,1.0718058e+01,1.0677661e+01,-1.8897527e+02,-1.8922607e+02,-1.8851286e+02,7.5508698e+01,8.6683208e+00,8.6356491e+00,2.7366683e+00,1.0132774e+05,1.0132806e+05,2.1485243e-03,7.2793453e-01,1.2363749e+00,1.0076424e+03,1.7744080e-05,2.4729260e-02
0.0000000e+00,2.8413245e+02,2.8235718e+02,9.3884878e+00,9.1183142e+00,9.3652408e+00,-1.6563315e+02,-1.6086671e+02,-1.6522302e+02,7.5508698e+01,7.3795405e+00,7.5793806e+00,0.0000000e+00,1.0132500e+05,1.0132533e+05,2.1476323e-03,7.2733022e-01,1.2374022e+00,1.0076115e+03,1.7732489e-05,2.4712417e-02
