time_hours,Tf_0*L,Tf_0.25*L,Tf_0.50*L,Tf_0.75*L,Tf_1*L,Ts_0*L,Ts_0.25*L,Ts_0.50*L,Ts_0.75*L,Ts_1*L
0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
0.027778,4.35,2.58,2.5,2.5,2.5,2.77,2.51,2.5,2.5,2.5
0.055556,6.2,2.62,2.51,2.5,2.5,3.01,2.53,2.5,2.5,2.5
0.083333,8.05,2.75,2.52,2.5,2.5,3.48,2.56,2.5,2.5,2.5
0.111111,9.88,2.92,2.53,2.5,2.5,4.15,2.61,2.51,2.5,2.5
0.138889,11.7,3.13,2.55,2.5,2.5,5,2.69,2.51,2.5,2.5
0.166667,13.5,3.38,2.58,2.51,2.5,5.99,2.79,2.52,2.5,2.5
0.194444,15.28,3.68,2.61,2.51,2.5,7.1,2.92,2.54,2.5,2.5
0.222222,17.04,4.03,2.66,2.51,2.5,8.31,3.09,2.55,2.5,2.5
0.25,18.76,4.43,2.71,2.52,2.5,9.6,3.29,2.58,2.51,2.5
0.277778,20.46,4.88,2.78,2.53,2.5,10.95,3.52,2.61,2.51,2.5
0.305556,22.12,5.37,2.86,2.54,2.5,12.36,3.79,2.64,2.51,2.5
0.333333,23.75,5.91,2.96,2.55,2.51,13.8,4.11,2.69,2.52,2.5
0.361111,25.34,6.5,3.07,2.57,2.51,15.27,4.46,2.75,2.53,2.5
0.388889,26.88,7.13,3.21,2.59,2.51,16.76,4.86,2.82,2.54,2.5
0.416667,28.37,7.81,3.36,2.61,2.51,18.25,5.29,2.89,2.55,2.51
0.444444,29.82,8.53,3.53,2.64,2.52,19.75,5.77,2.99,2.56,2.51
0.472222,31.21,9.28,3.72,2.68,2.52,21.23,6.29,3.1,2.58,2.51
0.5,32.55,10.07,3.93,2.72,2.53,22.71,6.85,3.22,2.6,2.51
0.527778,33.83,10.9,4.17,2.77,2.54,24.16,7.45,3.36,2.62,2.52
0.555556,35.06,11.76,4.43,2.82,2.55,25.59,8.08,3.52,2.65,2.52
0.583333,36.22,12.65,4.71,2.89,2.56,26.99,8.76,3.69,2.69,2.53
0.611111,37.31,13.56,5.02,2.96,2.57,28.35,9.47,3.89,2.73,2.53
0.638889,38.34,14.49,5.36,3.04,2.59,29.68,10.21,4.11,2.77,2.54
0.666667,39.31,15.44,5.72,3.13,2.61,30.96,10.98,4.34,2.83,2.55
0.694444,40.2,16.41,6.1,3.23,2.63,32.19,11.78,4.6,2.89,2.56
0.722222,41.02,17.39,6.51,3.34,2.65,33.37,12.61,4.89,2.95,2.58
0.75,41.76,18.38,6.95,3.47,2.68,34.5,13.46,5.19,3.03,2.59
0.777778,42.44,19.37,7.41,3.6,2.71,35.57,14.33,5.52,3.11,2.61
0.805556,43.03,20.36,7.89,3.75,2.75,36.59,15.23,5.87,3.21,2.63
0.833333,43.55,21.36,8.4,3.92,2.79,37.54,16.13,6.24,3.31,2.65
0.861111,43.99,22.34,8.93,4.09,2.83,38.43,17.05,6.64,3.43,2.68
